src_plate,src_well,src_name,total_volume,dest_plate
MAON-pcr1,A10,1_8&10_b,2.0,
MAON-pcr1,A11,2_11&18_b,2.0,
MAON-pcr1,A12,2_12&18_b,2.0,
MAON-pcr1,A2,1_6_b,9.0,
MAON-pcr1,A3,2_14_b,9.0,
MAON-pcr1,A4,3_22_b,15.0,
MAON-pcr1,A5,1_1&5_b,2.0,
MAON-pcr1,A6,1_2&5_b,2.0,
MAON-pcr1,A7,1_3&6_b,2.0,
MAON-pcr1,A8,1_4&8_b,2.0,
MAON-pcr1,A9,1_6&7_b,2.0,
MAON-pcr1,B10,1_9&10_b,2.0,
MAON-pcr1,B11,2_11&19_b,2.0,
MAON-pcr1,B12,2_12&19_b,2.0,
MAON-pcr1,B2,1_7_b,9.0,
MAON-pcr1,B3,2_15_b,9.0,
MAON-pcr1,B4,3_23_b,15.0,
MAON-pcr1,B5,1_1&6_b,2.0,
MAON-pcr1,B6,1_2&6_b,2.0,
MAON-pcr1,B7,1_3&7_b,2.0,
MAON-pcr1,B8,1_4&9_b,2.0,
MAON-pcr1,B9,1_6&8_b,2.0,
MAON-pcr1,C10,2_11&12_b,2.0,
MAON-pcr1,C11,2_11&20_b,2.0,
MAON-pcr1,C12,2_12&20_b,2.0,
MAON-pcr1,C2,1_8_b,9.0,
MAON-pcr1,C3,2_16_b,9.0,
MAON-pcr1,C4,3_24_b,15.0,
MAON-pcr1,C5,1_1&7_b,2.0,
MAON-pcr1,C6,1_2&7_b,2.0,
MAON-pcr1,C7,1_3&8_b,2.0,
MAON-pcr1,C8,1_4&10_b,2.0,
MAON-pcr1,C9,1_6&9_b,2.0,
MAON-pcr1,D1,1_1_b,9.0,
MAON-pcr1,D10,2_11&13_b,2.0,
MAON-pcr1,D11,2_12&13_b,2.0,
MAON-pcr1,D12,2_13&14_b,2.0,
MAON-pcr1,D2,1_9_b,9.0,
MAON-pcr1,D3,2_17_b,9.0,
MAON-pcr1,D4,3_25_b,15.0,
MAON-pcr1,D5,1_1&8_b,2.0,
MAON-pcr1,D6,1_2&8_b,2.0,
MAON-pcr1,D7,1_3&9_b,2.0,
MAON-pcr1,D8,1_5&6_b,2.0,
MAON-pcr1,D9,1_6&10_b,2.0,
MAON-pcr1,E1,1_2_b,9.0,
MAON-pcr1,E10,2_11&14_b,2.0,
